(132027, 10) (33007, 10) (132027,) (33007,)
100:	learn: 0.3174354	total: 6.66s	remaining: 59.3s
101:	learn: 0.3173898	total: 6.73s	remaining: 59.3s
102:	learn: 0.3173364	total: 6.8s	remaining: 59.2s
103:	learn: 0.3172820	total: 6.89s	remaining: 59.4s
104:	learn: 0.3172267	total: 6.97s	remaining: 59.4s
105:	learn: 0.3171907	total: 7.03s	remaining: 59.3s
106:	learn: 0.3171537	total: 7.1s	remaining: 59.3s
107:	learn: 0.3171074	total: 7.17s	remaining: 59.2s
108:	learn: 0.3170624	total: 7.24s	remaining: 59.2s
109:	learn: 0.3170199	total: 7.31s	remaining: 59.1s
110:	learn: 0.3169817	total: 7.37s	remaining: 59s
111:	learn: 0.3169553	total: 7.44s	remaining: 59s
112:	learn: 0.3169032	total: 7.51s	remaining: 59s
113:	learn: 0.3168643	total: 7.59s	remaining: 59s
114:	learn: 0.3168065	total: 7.68s	remaining: 59.1s
115:	learn: 0.3167823	total: 7.75s	remaining: 59.1s
116:	learn: 0.3167285	total: 7.82s	remaining: 59s
117:	learn: 0.3166787	total: 7.89s	remaining: 59s
118:	learn: 0.3166540	total: 7.96s	remaining: 58.9s
119:	learn: 0.3166190	total: 8.03s	remaining: 58.9s
120:	learn: 0.3165780	total: 8.09s	remaining: 58.8s
121:	learn: 0.3165324	total: 8.16s	remaining: 58.8s
122:	learn: 0.3164790	total: 8.23s	remaining: 58.7s
123:	learn: 0.3164215	total: 8.3s	remaining: 58.7s
124:	learn: 0.3163839	total: 8.38s	remaining: 58.6s
125:	learn: 0.3163147	total: 8.44s	remaining: 58.6s
126:	learn: 0.3162852	total: 8.52s	remaining: 58.5s
127:	learn: 0.3162343	total: 8.59s	remaining: 58.5s
128:	learn: 0.3161774	total: 8.65s	remaining: 58.4s
129:	learn: 0.3161172	total: 8.72s	remaining: 58.4s
130:	learn: 0.3160753	total: 8.79s	remaining: 58.3s
131:	learn: 0.3160238	total: 8.86s	remaining: 58.3s
132:	learn: 0.3159704	total: 8.93s	remaining: 58.2s
133:	learn: 0.3159306	total: 9.02s	remaining: 58.3s
134:	learn: 0.3158814	total: 9.1s	remaining: 58.3s
135:	learn: 0.3158226	total: 9.15s	remaining: 58.2s
136:	learn: 0.3157839	total: 9.22s	remaining: 58.1s
137:	learn: 0.3157369	total: 9.29s	remaining: 58s
138:	learn: 0.3156827	total: 9.36s	remaining: 58s
139:	learn: 0.3156326	total: 9.43s	remaining: 58s
140:	learn: 0.3155928	total: 9.51s	remaining: 57.9s
141:	learn: 0.3155407	total: 9.58s	remaining: 57.9s
142:	learn: 0.3154958	total: 9.65s	remaining: 57.8s
143:	learn: 0.3154476	total: 9.75s	remaining: 57.9s
144:	learn: 0.3153870	total: 9.84s	remaining: 58s
145:	learn: 0.3153469	total: 9.92s	remaining: 58s
146:	learn: 0.3152999	total: 9.98s	remaining: 57.9s
147:	learn: 0.3152481	total: 10.1s	remaining: 57.9s
148:	learn: 0.3151990	total: 10.1s	remaining: 57.9s
149:	learn: 0.3151399	total: 10.2s	remaining: 57.8s
150:	learn: 0.3150841	total: 10.3s	remaining: 57.8s
151:	learn: 0.3150347	total: 10.3s	remaining: 57.7s
152:	learn: 0.3149778	total: 10.4s	remaining: 57.7s
153:	learn: 0.3149420	total: 10.5s	remaining: 57.6s
154:	learn: 0.3149087	total: 10.5s	remaining: 57.5s
155:	learn: 0.3148724	total: 10.6s	remaining: 57.4s
156:	learn: 0.3148022	total: 10.7s	remaining: 57.4s
157:	learn: 0.3147625	total: 10.8s	remaining: 57.4s
158:	learn: 0.3147124	total: 10.8s	remaining: 57.3s
159:	learn: 0.3146418	total: 10.9s	remaining: 57.2s
160:	learn: 0.3145923	total: 11s	remaining: 57.2s
161:	learn: 0.3145355	total: 11s	remaining: 57.1s
162:	learn: 0.3145001	total: 11.1s	remaining: 57s
163:	learn: 0.3144626	total: 11.2s	remaining: 57.2s
164:	learn: 0.3144075	total: 11.3s	remaining: 57.1s
165:	learn: 0.3143885	total: 11.4s	remaining: 57.1s
166:	learn: 0.3143425	total: 11.4s	remaining: 57s
167:	learn: 0.3143017	total: 11.5s	remaining: 56.9s
168:	learn: 0.3142692	total: 11.6s	remaining: 56.8s
169:	learn: 0.3142234	total: 11.6s	remaining: 56.8s
170:	learn: 0.3141928	total: 11.7s	remaining: 56.7s
171:	learn: 0.3141447	total: 11.8s	remaining: 56.6s
172:	learn: 0.3140894	total: 11.8s	remaining: 56.5s
173:	learn: 0.3140665	total: 11.9s	remaining: 56.5s
174:	learn: 0.3140313	total: 12s	remaining: 56.4s
